sebelum,sesudah
soalny,soalnya
gk,tidak
ga,tidak
gak,tidak
nggak,tidak
gaada,tidak ada
gada,tidak ada
ngga,tidak
kalo,kalau
klo,kalau
jg,juga
tau,tahu
aja,saja
pngn,pengen
bgt,banget
buanget,banget
ak,saya
aq,saya
gw,saya
gweh,saya
gue,saya
gueh,saya
uda,sudah
udh,sudah
udah,sudah
yg,yang
dgn,dengan
kan,kan
jateng,jawa tengah
omg,ya tuhan
omga,ya tuhan
omo,waduh
info,informasi
apdet,terbaharui
abis,habis
abissss,habis
cmn,cuman
dpt,dapat
gasin,gas
gaskeun,gas
gasken,gas
jaoh,jauh
pgn,pengen
ama,sama
mak,ibu
jir,astaga
njir,astaga
otw,akan segera datang
mw,mau
cus,ayo
tp,tapi
ngurus,mengurus
cpt,cepat
knp,kenapa
jga,juga
duit,uang
barengan,
sm,sama
sma,sama
gaoaoa,gapapa
deket,dekat
dekeeet,dekat
dekettt,dekat
dekettt😭😭😭😭,dekat 😭😭😭😭
dekettttttttttttttt,dekat
ndelok,lihat
tak,aku
cedhak,dekat
cedhik,deakt
adoh,jauh
rk,tidak
r,tidak
ndak,tidak
puol,banget
pol,banget
larang,mahal
podo,sama
enek,ada
bedane,bedanya
intine,intinya
nik,kalau
nek,kalau
wis,sudah
wes,sudah
ws,sudah
sing,yang
nyekel,memegang
kudu,harus
gasik,lebih awal
punjul,lebih
meh,mau
ketoe,kelihatannya
ketoke,kelihatannya
rodok,agak
tumbas,beli
nyantai,bersantai
neng,di
kene,sini
ae,aja
entok,dapat
ortu,orang tua
